** Conflict ** , thinking about stall or another move
** Conflict ** , thinking about stall or another move
Printing final path
Player 1 going at posisition at<56,78> at step 75
Player 2 going at posisition at<34,89> at step 75
Player 1 going at posisition at<56,79> at step 76
Player 2 going at posisition at<33,89> at step 76
Player 1 going at posisition at<56,80> at step 77
Player 2 going at posisition at<32,89> at step 77
Player 1 going at posisition at<55,80> at step 78
Player 2 going at posisition at<31,89> at step 78
Player 1 going at posisition at<55,81> at step 79
Player 2 going at posisition at<30,89> at step 79
Player 1 going at posisition at<54,81> at step 80
Player 2 going at posisition at<29,89> at step 80
Player 1 going at posisition at<54,82> at step 81
Player 2 going at posisition at<28,89> at step 81
Player 1 going at posisition at<53,82> at step 82
Player 2 going at posisition at<27,89> at step 82
Player 1 going at posisition at<52,82> at step 83
Player 2 going at posisition at<26,89> at step 83
Player 1 going at posisition at<51,82> at step 84
Player 2 going at posisition at<25,89> at step 84
Player 1 going at posisition at<51,83> at step 85
Player 2 going at posisition at<24,89> at step 85
Player 1 going at posisition at<51,84> at step 86
Player 2 going at posisition at<23,89> at step 86
Player 1 going at posisition at<51,85> at step 87
Player 2 going at posisition at<22,89> at step 87
Player 1 going at posisition at<51,86> at step 88
Player 2 going at posisition at<21,89> at step 88
Player 1 going at posisition at<51,87> at step 89
Player 2 going at posisition at<20,89> at step 89
Player 1 going at posisition at<51,88> at step 90
Player 2 going at posisition at<19,89> at step 90
Player 1 going at posisition at<51,89> at step 91
Player 2 going at posisition at<18,89> at step 91
Player 1 going at posisition at<51,89> at step 92
Player 2 going at posisition at<17,89> at step 92
Player 1 going at posisition at<50,89> at step 93
Player 2 going at posisition at<16,89> at step 93
Player 1 going at posisition at<49,89> at step 94
Player 2 going at posisition at<15,89> at step 94
Player 1 going at posisition at<48,89> at step 95
Player 2 going at posisition at<14,89> at step 95
Player 1 going at posisition at<47,89> at step 96
Player 2 going at posisition at<13,89> at step 96
Player 1 going at posisition at<46,89> at step 97
Player 2 going at posisition at<12,89> at step 97
Player 1 going at posisition at<45,89> at step 98
Player 2 going at posisition at<11,89> at step 98
Player 1 going at posisition at<44,89> at step 99
Player 2 going at posisition at<10,89> at step 99
Player 1 going at posisition at<43,89> at step 100
Player 2 going at posisition at<9,89> at step 100
Player 1 going at posisition at<42,89> at step 101
Player 2 going at posisition at<8,89> at step 101
Player 1 going at posisition at<41,89> at step 102
Player 2 going at posisition at<7,89> at step 102
Player 1 going at posisition at<40,89> at step 103
Player 2 going at posisition at<6,89> at step 103
Player 1 going at posisition at<39,89> at step 104
Player 2 going at posisition at<5,89> at step 104
Player 1 going at posisition at<38,89> at step 105
Player 2 going at posisition at<5,89> at step 105
Player 1 going at posisition at<37,89> at step 106
Player 2 going at posisition at<6,89> at step 106
Player 1 going at posisition at<36,89> at step 107
Player 2 going at posisition at<7,89> at step 107
Player 1 going at posisition at<35,89> at step 108
Player 2 going at posisition at<8,89> at step 108
Player 1 going at posisition at<34,89> at step 109
Player 2 going at posisition at<9,89> at step 109
Player 1 going at posisition at<33,89> at step 110
Player 2 going at posisition at<10,89> at step 110
Player 1 going at posisition at<32,89> at step 111
Player 2 going at posisition at<11,89> at step 111
Player 1 going at posisition at<31,89> at step 112
Player 2 going at posisition at<12,89> at step 112
Player 1 going at posisition at<30,89> at step 113
Player 2 going at posisition at<13,89> at step 113
Player 1 going at posisition at<29,89> at step 114
Player 2 going at posisition at<14,89> at step 114
Player 1 going at posisition at<28,89> at step 115
Player 2 going at posisition at<15,89> at step 115
Player 1 going at posisition at<27,89> at step 116
Player 2 going at posisition at<16,89> at step 116
Player 1 going at posisition at<26,89> at step 117
Player 2 going at posisition at<17,89> at step 117
Player 1 going at posisition at<25,89> at step 118
Player 2 going at posisition at<18,89> at step 118
Player 1 going at posisition at<24,89> at step 119
Player 2 going at posisition at<19,89> at step 119
Player 1 going at posisition at<23,89> at step 120
Player 2 going at posisition at<20,89> at step 120
Player 1 going at posisition at<22,89> at step 121
Player 2 going at posisition at<21,89> at step 121
Player 1 going at posisition at<21,89> at step 122
Player 2 going at posisition at<22,89> at step 122
Player 1 going at posisition at<20,89> at step 123
